epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,18289.5,0.91357,0.75305,1.38519,0.80523,0.60797,0.70923,0.48948,1.1002,0.91491,1.35838,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
41,18743.6,0.90129,0.74206,1.38032,0.82684,0.60256,0.71142,0.48985,1.09409,0.91095,1.35612,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
42,19196.4,0.89976,0.72472,1.36785,0.8343,0.59862,0.70764,0.48866,1.09515,0.90589,1.35579,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
43,19649.8,0.89464,0.7182,1.37248,0.77531,0.63308,0.70864,0.48867,1.09446,0.90803,1.35521,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
44,20103.5,0.88102,0.70375,1.36424,0.79581,0.61564,0.70292,0.4862,1.09579,0.91144,1.35713,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
45,20556.7,0.88061,0.69876,1.36248,0.78955,0.62035,0.70251,0.48497,1.09554,0.91125,1.35808,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
46,21009.6,0.87353,0.70418,1.3582,0.78981,0.62042,0.70269,0.4856,1.09416,0.91064,1.35765,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
47,21463.1,0.86863,0.68606,1.35493,0.79586,0.61843,0.70267,0.48628,1.09383,0.90723,1.35753,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
48,21916,0.87734,0.67976,1.35393,0.79428,0.61805,0.702,0.48574,1.09258,0.90849,1.3561,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
49,22370.7,0.86544,0.67176,1.34581,0.78529,0.62679,0.70378,0.48645,1.0923,0.90958,1.3551,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
50,22824.6,0.86712,0.67988,1.34761,0.78575,0.62873,0.70329,0.48665,1.09236,0.90928,1.35569,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
